,ID,Group,TasksPRE,dept,TasksPOST,DeptAsNumeric
0,3,Ctrl,5,support,9,1
1,7,EXP,21,support,22,1
2,8,Ctrl,0,development,0,0
3,16,EXP,0,development,0,0
4,25,Ctrl,8,development,14,0
5,26,Ctrl,6,development,15,0
6,28,Ctrl,1,development,1,0
7,30,Ctrl,7,support,10,1
8,32,EXP,3,development,0,0
9,46,EXP,2,development,6,0
10,9,Ctrl,86,support,26,1
11,10,EXP,86,support,47,1
12,12,Ctrl,18,support,223,1
13,18,Ctrl,138,support,122,1
14,29,EXP,0,support,0,1
15,33,Ctrl,72,support,65,1
16,36,EXP,148,support,111,1
17,44,EXP,52,support,125,1
