,ID,Group,TasksPRE,dept,TasksPOST,DeptAsNumeric
0,3,Ctrl,22,support,39,1
1,7,EXP,56,support,73,1
2,8,Ctrl,2,development,18,0
3,16,EXP,53,development,29,0
4,25,Ctrl,26,development,44,0
5,26,Ctrl,12,development,28,0
6,28,Ctrl,4,development,4,0
7,30,Ctrl,84,support,138,1
8,32,EXP,24,development,14,0
9,46,EXP,19,development,21,0
10,9,Ctrl,345,support,104,1
11,10,EXP,346,support,187,1
12,12,Ctrl,183,support,750,1
13,18,Ctrl,531,support,488,1
14,29,EXP,785,support,872,1
15,33,Ctrl,303,support,257,1
16,36,EXP,570,support,465,1
17,44,EXP,257,support,465,1
