,ID,GROUP,attentionAwarenessPRE,attentionAwarenessPOST,role,Dept
0,2,G1,34.0,54.0,director,Support
1,3,G2,48.0,57.0,support,Development
2,4,G1,45.0,51.0,development,Support
3,5,G1,61.0,54.0,development/support,Development
4,8,G2,48.0,48.0,development,Development
5,9,G2,63.0,62.0,development/support,Support
6,11,G1,65.0,71.0,development/support,Support
7,12,G2,52.0,46.0,support,Support
8,14,G1,46.0,52.0,development,Development
9,15,G1,48.0,53.0,development,Development
10,16,G1,53.0,63.0,development,Development
11,17,G1,29.0,41.0,development,Development
12,18,G2,58.0,56.0,support,Support
13,19,G2,42.0,42.0,systems,Support
14,21,G1,53.0,51.0,support,Support
15,22,G2,90.0,77.0,systems,Support
16,23,G1,48.0,48.0,development,Development
17,24,G2,41.0,48.0,development,Development
18,25,G2,54.0,50.0,development,Development
19,26,G2,44.0,35.0,development,Development
20,28,G2,54.0,54.0,development,Development
21,29,G1,39.0,55.0,support,Support
22,30,G2,55.0,44.0,director,Support
23,32,G1,32.0,45.0,development,Development
24,34,G2,51.0,49.0,director,Support
25,35,G1,44.0,39.0,systems,Support
26,36,G1,60.0,49.0,support,Support
27,37,G2,83.0,85.0,support,Support
28,38,G1,60.0,58.0,development,Development
29,39,G1,48.0,57.0,development,Development
30,42,G1,64.0,64.0,management,Support
31,43,G2,41.0,39.0,systems,Support
32,46,G1,49.0,45.0,development,Development
33,47,G2,48.0,57.0,development,Development
34,48,G2,54.0,53.0,development,Development
35,50,G2,43.0,48.0,development/support,Development
