,ID,GROUP,attentionAwarenessPRE,attentionAwarenessPOST,role,Dept,DeptAsNumeric
0,2,EXP,34.0,54.0,director,Support,1
1,4,EXP,45.0,51.0,development,Support,1
2,5,EXP,61.0,54.0,development/support,Development,0
3,8,CTRL,48.0,48.0,development,Development,0
4,11,EXP,65.0,71.0,development/support,Support,1
5,14,EXP,46.0,52.0,development,Development,0
6,15,EXP,48.0,53.0,development,Development,0
7,16,EXP,53.0,63.0,development,Development,0
8,17,EXP,29.0,41.0,development,Development,0
9,18,CTRL,58.0,56.0,support,Support,1
10,19,CTRL,42.0,42.0,systems,Support,1
11,21,EXP,53.0,51.0,support,Support,1
12,22,CTRL,90.0,77.0,systems,Support,1
13,23,EXP,48.0,48.0,development,Development,0
14,24,CTRL,41.0,48.0,development,Development,0
15,25,CTRL,54.0,50.0,development,Development,0
16,26,CTRL,44.0,35.0,development,Development,0
17,28,CTRL,54.0,54.0,development,Development,0
18,29,EXP,39.0,55.0,support,Support,1
19,32,EXP,32.0,45.0,development,Development,0
20,36,EXP,60.0,49.0,support,Support,1
21,37,CTRL,83.0,85.0,support,Support,1
22,38,EXP,60.0,58.0,development,Development,0
23,39,EXP,48.0,57.0,development,Development,0
24,42,EXP,64.0,64.0,management,Support,1
25,46,EXP,49.0,45.0,development,Development,0
26,47,CTRL,48.0,57.0,development,Development,0
27,48,CTRL,54.0,53.0,development,Development,0
