N Empleado;GRUPO;MOMENTO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;G1;PRE;4;6;4;4;6;3;5;5;5;6;6;5;6;6;6
2;G1;PRE;2;4;5;2;2;1;1;4;1;4;2;1;1;3;1
3;G2;PRE;3;6;2;2;1;3;2;2;3;3;5;5;2;3;6
4;G1;PRE;3;4;3;2;2;2;3;4;3;4;2;1;2;5;5
5;G1;PRE;4;6;4;1;2;1;3;5;6;6;6;3;2;6;6
6;G2;PRE;3;6;4;4;4;4;4;4;4;3;3;3;3;3;4
7;G1;PRE;6;4;4;4;;4;4;4;4;4;2;4;4;4;5
8;G2;PRE;4;6;4;2;2;3;2;3;2;3;3;3;4;4;3
9;G2;PRE;4;6;5;3;2;2;3;5;5;5;5;5;3;5;5
10;G1;PRE;3;5;2;3;3;2;2;3;3;2;3;3;1;2;4
11;G1;PRE;5;6;5;5;4;2;3;4;3;5;3;6;4;4;6
12;G2;PRE;4;6;4;2;2;4;4;3;4;4;2;3;3;3;4
13;G2;PRE;3;4;3;4;3;1;3;3;4;3;2;2;3;2;3
14;G1;PRE;3;4;2;2;4;3;2;3;4;2;4;3;2;3;5
15;G1;PRE;2;2;5;3;5;1;3;3;3;2;3;5;1;4;6
16;G1;PRE;3;5;5;2;2;4;4;5;4;4;2;3;3;4;3
17;G1;PRE;4;4;3;1;1;1;1;2;2;1;1;1;1;2;4
18;G2;PRE;6;4;4;4;3;1;4;4;4;4;4;3;3;4;6
19;G2;PRE;5;2;4;1;1;2;2;2;2;2;2;3;4;4;6
20;G2;PRE;4;5;4;2;2;2;3;3;4;5;2;3;3;5;6
21;G1;PRE;4;5;4;1;4;4;3;4;4;4;2;2;3;4;5
22;G2;PRE;5;4;4;2;5;22;5;6;6;6;4;6;3;6;6
23;G1;PRE;4;5;2;3;4;1;3;5;2;5;2;3;1;4;4
24;G2;PRE;5;5;3;1;2;1;2;3;4;2;2;3;5;2;1
25;G2;PRE;5;5;4;3;4;2;3;4;3;3;2;3;3;4;6
26;G2;PRE;3;5;2;4;4;1;2;2;2;2;4;5;3;2;3
27;G2;PRE;5;4;4;4;;3;4;5;4;4;2;3;4;4;6
28;G2;PRE;3;5;4;3;4;2;3;3;3;4;4;4;3;4;5
29;G1;PRE;3;1;3;3;2;1;3;4;2;2;1;1;4;3;6
30;G2;PRE;4;6;4;3;3;2;3;3;3;3;6;3;3;3;6
31;G1;PRE;3;3;3;2;3;2;2;2;3;4;3;3;3;4;3
32;G1;PRE;2;3;3;1;1;1;2;2;3;2;3;3;2;2;2
33;G2;PRE;4;4;5;2;2;3;3;4;5;3;2;4;4;5;6
34;G2;PRE;4;6;5;3;2;2;3;4;4;3;2;3;3;3;4
35;G1;PRE;2;4;1;5;3;1;2;3;5;3;3;3;2;2;5
36;G1;PRE;5;6;2;1;6;2;1;6;6;6;4;2;1;6;6
37;G2;PRE;6;6;6;4;6;4;6;6;6;6;4;6;6;5;6
38;G1;PRE;5;6;3;4;5;4;4;4;4;3;2;3;3;4;6
39;G1;PRE;2;4;2;1;3;1;4;4;6;5;2;1;2;5;6
40;G1;PRE;5;3;4;4;4;3;3;3;4;5;4;3;2;4;5
41;G2;PRE;;;;;;;;;;;;;;;
42;G1;PRE;4;4;6;3;3;2;3;6;5;6;3;3;4;6;6
43;G2;PRE;3;4;2;2;2;1;2;3;3;3;3;2;4;3;4
44;G1;PRE;1;6;6;5;6;22;5;5;5;5;2;3;1;6;6
45;G2;PRE;3;4;3;3;3;3;3;3;4;4;3;3;4;3;4
46;G1;PRE;2;4;3;1;2;1;2;1;6;5;6;4;2;4;6
47;G2;PRE;5;6;3;1;4;3;3;4;4;3;3;2;2;2;3
48;G2;PRE;3;4;4;3;4;3;4;4;4;3;4;3;3;4;4
49;G2;PRE;4;5;5;5;;4;5;6;5;6;3;5;2;5;6
50;G2;PRE;3;2;4;3;3;2;3;3;2;3;3;3;2;3;4
51;G2;PRE;;;;;;;;;;;;;;;
1;G1;POST;;;;;;;;;;;;;;;
2;G1;POST;2;6;5;2;1;3;6;6;2;6;1;2;3;3;6
3;G2;POST;5;6;4;3;2;4;3;3;5;3;3;4;3;4;5
4;G1;POST;3;4;5;2;2;2;3;4;4;4;2;2;3;5;6
5;G1;POST;5;5;4;2;3;1;4;5;5;5;4;2;2;3;4
6;G2;POST;;;;;;;;;;;;;;;
7;G1;POST;4;6;5;5;5;6;6;6;6;6;6;6;5;6;6
8;G2;POST;4;4;3;2;3;2;2;3;4;4;3;4;4;3;3
9;G2;POST;4;6;5;3;2;2;4;4;4;5;5;4;4;5;5
10;G1;POST;;;;;;;;;;;;;;;
11;G1;POST;5;6;5;6;4;3;5;5;3;5;5;5;3;5;6
12;G2;POST;3;5;3;2;3;4;3;3;3;3;2;3;2;3;4
13;G2;POST;;;;;;;;;;;;;;;
14;G1;POST;4;4;3;2;5;2;3;3;4;4;3;4;3;3;5
15;G1;POST;5;5;3;5;3;2;3;3;3;3;2;6;1;3;6
16;G1;POST;3;5;5;4;4;5;4;5;5;5;3;4;3;4;4
17;G1;POST;3;5;4;2;2;2;1;4;4;2;1;2;1;3;5
18;G2;POST;6;5;3;2;6;1;4;4;4;5;3;2;1;4;6
19;G2;POST;5;3;4;2;2;1;2;2;3;2;2;2;4;3;5
20;G2;POST;;;;;;;;;;;;;;;
21;G1;POST;3;5;4;2;3;3;3;4;4;4;3;3;3;3;4
22;G2;POST;6;6;5;4;5;2;5;5;6;6;5;5;5;6;6
23;G1;POST;3;5;4;4;3;1;3;4;2;4;2;3;2;4;4
24;G2;POST;4;5;4;2;1;1;2;3;3;3;2;4;4;5;5
25;G2;POST;4;5;4;3;1;2;3;3;3;2;2;4;5;4;5
26;G2;POST;3;4;3;2;2;1;1;2;3;2;2;2;3;2;3
27;G2;POST;4;6;4;4;4;4;6;6;5;5;5;5;3;4;6
28;G2;POST;3;4;4;4;5;3;3;4;4;4;3;3;2;4;4
29;G1;POST;4;3;4;4;4;3;4;3;4;4;3;3;4;4;4
30;G2;POST;4;4;3;3;3;1;3;3;3;2;4;2;2;3;4
31;G1;POST;;;;;;;;;;;;;;;
32;G1;POST;3;4;3;2;2;2;3;3;3;3;4;4;3;3;3
33;G2;POST;;;;;;;;;;;;;;;
34;G2;POST;4;4;3;3;2;2;3;4;4;3;3;3;3;4;4
35;G1;POST;2;3;2;3;2;1;2;3;2;3;1;3;3;3;6
36;G1;POST;6;6;3;1;4;1;1;2;3;4;3;4;1;4;6
37;G2;POST;6;6;6;6;5;3;6;6;6;6;6;6;5;6;6
38;G1;POST;3;5;4;4;5;4;4;3;5;3;4;3;3;3;5
39;G1;POST;3;5;3;3;4;3;4;4;4;4;4;3;4;4;5
40;G1;POST;;;;;;;;;;;;;;;
41;G2;POST;;;;;;;;;;;;;;;
42;G1;POST;4;6;5;4;4;5;4;4;4;4;3;4;3;4;6
43;G2;POST;2;5;3;1;1;1;2;3;3;3;2;2;3;4;4
44;G1;POST;;;;;;;;;;;;;;;
45;G2;POST;;;;;;;;;;;;;;;
46;G1;POST;3;4;3;2;2;2;2;3;3;4;2;3;2;4;6
47;G2;POST;4;5;4;3;4;3;3;4;4;4;4;3;4;4;4
48;G2;POST;3;4;4;4;3;3;4;3;4;4;3;3;3;4;4
49;G2;POST;;;;;;;;;;;;;;;
