Sujeto;Perfil;Grupo;Identificador;Tareas;#;Proyecto;Tipo;Creado;Actualizado;Inicio;Fin;Cerrada
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19358;SICAL;TC-Error;26/04/2019 9:23;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19323;SICAL;TC-Error;23/04/2019 11:54;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19169;SICAL;TC-Error;05/04/2019 8:30;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19159;SICAL;TC-Error;04/04/2019 9:29;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19131;SICAL;TC-Error;02/04/2019 8:09;; ;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19113;SICAL;TC-Nueva Funcionalidad;29/03/2019 11:14;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19107;SICAL;TC-Error;28/03/2019 13:48;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19064;SICAL;TC-Error;26/03/2019 8:56;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19055;SICAL;TC-Error;25/03/2019 11:44;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;19005;SICAL;TC-Mejora;21/03/2019 9:47;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18993;SICAL;TC-Nueva Funcionalidad;20/03/2019 12:33;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18915;SICAL;TC-Error;14/03/2019 14:03;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18897;SICAL;TC-Error;13/03/2019 13:53;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18860;SICAL;TC-Nueva Funcionalidad;11/03/2019 13:34;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18840;SICAL;TC-Error;08/03/2019 12:57;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18807;SICAL;TC-Mejora;06/03/2019 14:33;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18800;SICAL;TC-Error;06/03/2019 13:25;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18758;SICAL;TC-Error;04/03/2019 12:50;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18712;SICAL;TC-Nueva Funcionalidad;25/02/2019 8:24;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18711;SICAL;TC-Mejora;25/02/2019 8:12;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18684;SICAL;TC-Error;20/02/2019 13:56;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18660;SICAL;TC-Error;18/02/2019 12:05;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18613;SICAL;TC-Error;14/02/2019 8:54;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18586;SICAL;TC-Nueva Funcionalidad;08/02/2019 8:32;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18572;SICAL;TC-Error;07/02/2019 12:20;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18546;SICAL;TC-Error;04/02/2019 11:45;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18497;SICAL;TC-Error;29/01/2019 9:37;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18474;SICAL;TC-Error;25/01/2019 8:43;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1a;18472;SICAL;TC-Error;24/01/2019 13:28;;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;19225;SICAL;TA-Error;;10/04/2019 14:26;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;19221;SICAL;TA-Error;;10/04/2019 14:28;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;19114;SICAL;TA-Error;;02/04/2019 13:15;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;19107;SICAL;TA-Error;;28/03/2019 13:53;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;19064;SICAL;TA-Error;;29/03/2019 11:03;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18992;SICAL;TA-Error;;20/03/2019 12:41;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18800;SICAL;TA-Error;;06/03/2019 14:30;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18712;SICAL;TA-Nueva Funcionalidad;;04/03/2019 11:49;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18684;SICAL;TA-Error;;21/02/2019 8:14;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18681;SICAL;TA-Error;;21/02/2019 9:12;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18680;SICAL;TA-Error;;22/02/2019 7:38;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18678;SICAL;TA-Error;;19/02/2019 14:31;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18660;SICAL;TA-Error;;19/02/2019 12:38;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18648;SICAL;TA-Mejora;;06/03/2019 13:23;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18647;SICAL;TA-Error;;06/03/2019 13:22;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18552;SICAL;TA-Error;;06/03/2019 10:07;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18539;SICAL;TA-Nueva Funcionalidad;;13/03/2019 11:12;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18476;SICAL;TA-Error;;04/03/2019 11:46;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18475;SICAL;TA-Error;;06/03/2019 10:05;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18442;SICAL;TA-Error;;22/01/2019 11:14;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18403;SICAL;TA-Nueva Funcionalidad;;13/03/2019 9:26;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18401;SICAL;TA-Nueva Funcionalidad;;22/01/2019 14:23;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18254;SICAL;TA-Error;;22/02/2019 7:59;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18095;SICAL;TA-Error;;19/02/2019 13:58;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;18091;SICAL;TA-Error;;12/02/2019 14:29;;;
46;desarrollo;EXP;46 EXP desarrollo;AD1b;17050;SICAL;TA-Mejora;;14/02/2019 8:51;;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19361;SICAL;TAIS-Error;;;26/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19225;SICAL;TAIS-Error;;;10/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19169;SICAL;TAIS-Error;;;05/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19159;SICAL;TAIS-Error;;;04/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19131;SICAL;TAIS-Error;;;02/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19123;SICAL;TAIS-Mejora;;;01/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19107;SICAL;TAIS-Error;;;28/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;19055;SICAL;TAIS-Error;;;25/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18944;SICAL;TAIS-Error;;;18/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18926;SICAL;TAIS-Mejora;;;15/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18897;SICAL;TAIS-Error;;;13/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18877;SICAL;TAIS-Error;;;12/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18857;SICAL;TAIS-Error;;;11/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18681;SICAL;TAIS-Error;;;20/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18613;SICAL;TAIS-Error;;;14/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18588;SICAL;TAIS-Error;;;08/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18552;SICAL;TAIS-Error;;;05/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18493;SICAL;TAIS-Nueva Funcionalidad;;;28/01/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18474;SICAL;TAIS-Error;;;25/01/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD2;18472;SICAL;TAIS-Error;;;24/01/2019;;
46;desarrollo;EXP;46 EXP desarrollo;AD3;19225;SICAL;TR-Error;10/04/2019 12:22;;10/04/2019;;10/04/2019 14:26
46;desarrollo;EXP;46 EXP desarrollo;AD3;19169;SICAL;TR-Error;05/04/2019 8:30;;05/04/2019;;05/04/2019 8:30
46;desarrollo;EXP;46 EXP desarrollo;AD3;19159;SICAL;TR-Error;04/04/2019 9:29;;04/04/2019;;04/04/2019 9:29
46;desarrollo;EXP;46 EXP desarrollo;AD3;19131;SICAL;TR-Error;02/04/2019 8:09;;02/04/2019;;02/04/2019 8:09
46;desarrollo;EXP;46 EXP desarrollo;AD3;19107;SICAL;TR-Error;28/03/2019 13:48;;28/03/2019;;28/03/2019 13:53
46;desarrollo;EXP;46 EXP desarrollo;AD3;19055;SICAL;TR-Error;25/03/2019 11:44;;25/03/2019;;25/03/2019 11:44
46;desarrollo;EXP;46 EXP desarrollo;AD3;18897;SICAL;TR-Error;13/03/2019 13:53;;13/03/2019;;13/03/2019 13:53
46;desarrollo;EXP;46 EXP desarrollo;AD3;18681;SICAL;TR-Error;20/02/2019 13:38;;20/02/2019;;21/02/2019 9:12
46;desarrollo;EXP;46 EXP desarrollo;AD3;18613;SICAL;TR-Error;14/02/2019 8:54;;14/02/2019;;14/02/2019 8:54
46;desarrollo;EXP;46 EXP desarrollo;AD3;18552;SICAL;TR-Error;05/02/2019 9:47;;05/02/2019;;06/03/2019 10:07
46;desarrollo;EXP;46 EXP desarrollo;AD3;18474;SICAL;TR-Error;25/01/2019 8:43;;25/01/2019;;25/01/2019 8:43
46;desarrollo;EXP;46 EXP desarrollo;AD3;18472;SICAL;TR-Error;24/01/2019 13:28;;24/01/2019;;24/01/2019 13:28
46;desarrollo;EXP;46 EXP desarrollo;AD3;18401;SICAL;TR-Nueva Funcionalidad;14/01/2019 9:48;;14/01/2019;;22/01/2019 14:23
46;desarrollo;EXP;46 EXP desarrollo;BD1;19358;SICAL;ErrorDetectado;26/04/2019 9:23;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19323;SICAL;ErrorDetectado;23/04/2019 11:54;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19169;SICAL;ErrorDetectado;05/04/2019 8:30;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19159;SICAL;ErrorDetectado;04/04/2019 9:29;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19131;SICAL;ErrorDetectado;02/04/2019 8:09;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19107;SICAL;ErrorDetectado;28/03/2019 13:48;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19064;SICAL;ErrorDetectado;26/03/2019 8:56;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;19055;SICAL;ErrorDetectado;25/03/2019 11:44;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18915;SICAL;ErrorDetectado;14/03/2019 14:03;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18897;SICAL;ErrorDetectado;13/03/2019 13:53;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18840;SICAL;ErrorDetectado;08/03/2019 12:57;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18800;SICAL;ErrorDetectado;06/03/2019 13:25;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18758;SICAL;ErrorDetectado;04/03/2019 12:50;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18684;SICAL;ErrorDetectado;20/02/2019 13:56;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18660;SICAL;ErrorDetectado;18/02/2019 12:05;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18613;SICAL;ErrorDetectado;14/02/2019 8:54;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18572;SICAL;ErrorDetectado;07/02/2019 12:20;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18546;SICAL;ErrorDetectado;04/02/2019 11:45;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18497;SICAL;ErrorDetectado;29/01/2019 9:37;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18474;SICAL;ErrorDetectado;25/01/2019 8:43;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD1;18472;SICAL;ErrorDetectado;24/01/2019 13:28;;;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19361;SICAL;ErrorAsignado;;;26/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19225;SICAL;ErrorAsignado;;;10/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19169;SICAL;ErrorAsignado;;;05/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19159;SICAL;ErrorAsignado;;;04/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19131;SICAL;ErrorAsignado;;;02/04/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19107;SICAL;ErrorAsignado;;;28/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;19055;SICAL;ErrorAsignado;;;25/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18944;SICAL;ErrorAsignado;;;18/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18897;SICAL;ErrorAsignado;;;13/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18877;SICAL;ErrorAsignado;;;12/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18857;SICAL;ErrorAsignado;;;11/03/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18681;SICAL;ErrorAsignado;;;20/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18613;SICAL;ErrorAsignado;;;14/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18588;SICAL;ErrorAsignado;;;08/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18552;SICAL;ErrorAsignado;;;05/02/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18474;SICAL;ErrorAsignado;;;25/01/2019;;
46;desarrollo;EXP;46 EXP desarrollo;BD2;18472;SICAL;ErrorAsignado;;;24/01/2019;;
28;desarrollo;CTRL;28 CTRL desarrollo;AD1a;19155;Licyt@lSede Sede Electrónica Contratación Local;TC-Gestión;03/04/2019 14:29;;;;
28;desarrollo;CTRL;28 CTRL desarrollo;AD1a;19119;Licyt@lSede Sede Electrónica Contratación Local;TC-Error;01/04/2019 8:11;;;;
28;desarrollo;CTRL;28 CTRL desarrollo;AD1a;18917;eLICYTAL Sede Electrónica Contratación (Empresas);TC-Gestión;15/03/2019 8:36;;;;
